question,optionA,optionB,optionC,optionD,correct,explanation
"Find the mean of the numbers [24, 12, 3, 18, 5].",9.4,12.4,16.4,14.4,B,The correct answer is 12.4.
A rectangle has length 14 cm and width 9 cm. Find its perimeter.,36,42,52,46,D,The correct answer is 46.
A trader buys an item for ₦22 and sells it for ₦29. Find the profit.,6,11,7,9,C,The correct answer is 7.
"If f(x) = 6x + 7, find f(1).",20,13,8,10,B,The correct answer is 13.
"If f(x) = 2x + 1, find f(2).",12,2,5,0,C,The correct answer is 5.
A rectangle has length 15 cm and width 13 cm. Find its perimeter.,56,52,62,46,A,The correct answer is 56.
"Find the mean of the numbers [16, 6, 14, 25, 13].",18.8,11.8,14.8,16.8,C,The correct answer is 14.8.
"If |A|=32, |B|=27, and |A ∩ B|=7, find |A ∪ B|.",62,48,57,52,D,The correct answer is 52.
A trader buys an item for ₦28 and sells it for ₦37. Find the profit.,11,13,9,8,C,The correct answer is 9.
A rectangle has length 10 cm and width 13 cm. Find its perimeter.,46,42,52,36,A,The correct answer is 46.
"If f(x) = 3x + 5, find f(4).",17,24,12,14,A,The correct answer is 17.
A rectangle has length 3 cm and width 10 cm. Find its perimeter.,26,32,22,16,A,The correct answer is 26.
"Find the mean of the numbers [1, 6, 7, 20, 2].",9.2,7.2,11.2,4.2,B,The correct answer is 7.2.
"Find the mean of the numbers [6, 24, 5, 1, 7].",12.6,5.6,10.6,8.6,D,The correct answer is 8.6.
Solve for x: 3x + 8 = 35,8,9,11,10,B,The correct answer is 9.
A trader buys an item for ₦34 and sells it for ₦44. Find the profit.,10,14,12,9,A,The correct answer is 10.
"If f(x) = 4x + 6, find f(3).",25,13,15,18,D,The correct answer is 18.
Solve for x: 6x + 2 = 44,7,9,8,6,A,The correct answer is 7.
"Find the mean of the numbers [22, 14, 1, 29, 15].",16.2,18.2,20.2,13.2,A,The correct answer is 16.2.
A trader buys an item for ₦34 and sells it for ₦43. Find the profit.,9,8,11,13,A,The correct answer is 9.
A trader buys an item for ₦30 and sells it for ₦50. Find the profit.,20,19,22,24,A,The correct answer is 20.
"If f(x) = 4x + 5, find f(10).",52,40,42,45,D,The correct answer is 45.
Find sin 60°.,0,1,√3,√3/2,D,The correct answer is √3/2.
Solve for x: 9x + 3 = 48,4,5,6,7,B,The correct answer is 5.
Find sin 45°.,√2/2,1,√3,0,A,The correct answer is √2/2.
Find sin 60°.,√3/2,1,0,√3,A,The correct answer is √3/2.
A trader buys an item for ₦36 and sells it for ₦43. Find the profit.,9,7,6,11,B,The correct answer is 7.
"If f(x) = 5x + 7, find f(3).",29,22,19,17,B,The correct answer is 22.
Find sin 60°.,1,0,√3/2,√3,C,The correct answer is √3/2.
A trader buys an item for ₦37 and sells it for ₦46. Find the profit.,13,11,9,8,C,The correct answer is 9.
Find the area of a circle of radius 9 cm. (Take π = 22/7),264.57,254.57,242.57,259.57,B,The correct answer is 254.57.
A trader buys an item for ₦50 and sells it for ₦56. Find the profit.,6,5,8,10,A,The correct answer is 6.
Find sin 30°.,√3,1/2,0,1,B,The correct answer is 1/2.
A trader buys an item for ₦13 and sells it for ₦32. Find the profit.,19,23,21,18,A,The correct answer is 19.
A trader buys an item for ₦16 and sells it for ₦22. Find the profit.,5,8,10,6,D,The correct answer is 6.
A trader buys an item for ₦50 and sells it for ₦56. Find the profit.,8,6,5,10,B,The correct answer is 6.
A trader buys an item for ₦50 and sells it for ₦61. Find the profit.,15,11,13,10,B,The correct answer is 11.
Find sin 60°.,1,0,√3,√3/2,D,The correct answer is √3/2.
"If |A|=36, |B|=26, and |A ∩ B|=8, find |A ∪ B|.",59,64,54,50,C,The correct answer is 54.
Solve for x: 9x + 11 = 47,4,3,5,6,A,The correct answer is 4.
Find sin 30°.,√3,1/2,0,1,B,The correct answer is 1/2.
A trader buys an item for ₦32 and sells it for ₦39. Find the profit.,7,9,11,6,A,The correct answer is 7.
Find the area of a circle of radius 9 cm. (Take π = 22/7),264.57,254.57,242.57,259.57,B,The correct answer is 254.57.
Solve for x: 10x + 7 = 47,5,6,3,4,D,The correct answer is 4.
A trader buys an item for ₦16 and sells it for ₦23. Find the profit.,11,6,7,9,C,The correct answer is 7.
A trader buys an item for ₦44 and sells it for ₦53. Find the profit.,8,11,9,13,C,The correct answer is 9.
A trader buys an item for ₦48 and sells it for ₦64. Find the profit.,18,20,16,15,C,The correct answer is 16.
"Find the mean of the numbers [13, 22, 13, 22, 17].",19.4,21.4,14.399999999999999,17.4,D,The correct answer is 17.4.
Find the area of a circle of radius 7 cm. (Take π = 22/7),159.0,154.0,164.0,142.0,B,The correct answer is 154.0.
"If f(x) = 4x + 7, find f(7).",42,30,32,35,D,The correct answer is 35.
Find the area of a circle of radius 6 cm. (Take π = 22/7),118.14,113.14,101.14,123.14,B,The correct answer is 113.14.
Solve for x: 5x + 12 = 17,3,0,2,1,D,The correct answer is 1.
"If f(x) = 4x + 3, find f(8).",32,30,35,42,C,The correct answer is 35.
A trader buys an item for ₦27 and sells it for ₦42. Find the profit.,19,14,15,17,C,The correct answer is 15.
A trader buys an item for ₦32 and sells it for ₦39. Find the profit.,7,6,9,11,A,The correct answer is 7.
A trader buys an item for ₦46 and sells it for ₦58. Find the profit.,16,14,11,12,D,The correct answer is 12.
A trader buys an item for ₦15 and sells it for ₦20. Find the profit.,9,5,4,7,B,The correct answer is 5.
A trader buys an item for ₦15 and sells it for ₦34. Find the profit.,19,23,18,21,A,The correct answer is 19.
A trader buys an item for ₦19 and sells it for ₦24. Find the profit.,9,4,5,7,C,The correct answer is 5.
"If f(x) = 5x + 8, find f(4).",25,23,35,28,D,The correct answer is 28.
A rectangle has length 10 cm and width 3 cm. Find its perimeter.,22,32,26,16,C,The correct answer is 26.
"If f(x) = 6x + 4, find f(1).",7,10,17,5,B,The correct answer is 10.
A trader buys an item for ₦37 and sells it for ₦48. Find the profit.,10,13,11,15,C,The correct answer is 11.
A trader buys an item for ₦14 and sells it for ₦25. Find the profit.,15,11,10,13,B,The correct answer is 11.
A trader buys an item for ₦12 and sells it for ₦17. Find the profit.,9,7,4,5,D,The correct answer is 5.
A trader buys an item for ₦18 and sells it for ₦30. Find the profit.,14,16,12,11,C,The correct answer is 12.
A trader buys an item for ₦18 and sells it for ₦37. Find the profit.,19,21,18,23,A,The correct answer is 19.
A trader buys an item for ₦26 and sells it for ₦36. Find the profit.,14,10,12,9,B,The correct answer is 10.
"Find the mean of the numbers [17, 26, 2, 1, 28].",14.8,11.8,18.8,16.8,A,The correct answer is 14.8.
Find sin 30°.,√3,0,1,1/2,D,The correct answer is 1/2.
"Find the mean of the numbers [9, 1, 12, 17, 7].",6.199999999999999,11.2,9.2,13.2,C,The correct answer is 9.2.
A trader buys an item for ₦37 and sells it for ₦45. Find the profit.,7,10,12,8,D,The correct answer is 8.
A rectangle has length 6 cm and width 13 cm. Find its perimeter.,34,38,28,44,B,The correct answer is 38.
A trader buys an item for ₦50 and sells it for ₦60. Find the profit.,12,10,14,9,B,The correct answer is 10.
Find the area of a circle of radius 8 cm. (Take π = 22/7),206.14,201.14,189.14,211.14,B,The correct answer is 201.14.
"If f(x) = 4x + 6, find f(7).",31,34,29,41,B,The correct answer is 34.
Find the area of a circle of radius 9 cm. (Take π = 22/7),259.57,264.57,254.57,242.57,C,The correct answer is 254.57.
"If |A|=36, |B|=18, and |A ∩ B|=7, find |A ∪ B|.",52,57,43,47,D,The correct answer is 47.
Find sin 60°.,√3,0,1,√3/2,D,The correct answer is √3/2.
A trader buys an item for ₦31 and sells it for ₦41. Find the profit.,10,14,9,12,A,The correct answer is 10.
A trader buys an item for ₦29 and sells it for ₦41. Find the profit.,11,16,14,12,D,The correct answer is 12.
"If |A|=21, |B|=22, and |A ∩ B|=10, find |A ∪ B|.",43,38,29,33,D,The correct answer is 33.
A trader buys an item for ₦35 and sells it for ₦53. Find the profit.,22,18,20,17,B,The correct answer is 18.
"Find the mean of the numbers [6, 22, 11, 22, 16].",19.4,12.4,17.4,15.4,D,The correct answer is 15.4.
Find sin 60°.,√3,0,1,√3/2,D,The correct answer is √3/2.
A trader buys an item for ₦32 and sells it for ₦47. Find the profit.,19,14,17,15,D,The correct answer is 15.
A trader buys an item for ₦34 and sells it for ₦54. Find the profit.,22,19,20,24,C,The correct answer is 20.
A trader buys an item for ₦17 and sells it for ₦23. Find the profit.,5,8,6,10,C,The correct answer is 6.
"Find the mean of the numbers [30, 4, 1, 16, 13].",9.8,16.8,12.8,14.8,C,The correct answer is 12.8.
Find sin 30°.,1/2,0,√3,1,A,The correct answer is 1/2.
"Find the mean of the numbers [29, 2, 9, 5, 3].",9.6,13.6,11.6,6.6,A,The correct answer is 9.6.
A trader buys an item for ₦42 and sells it for ₦58. Find the profit.,16,15,20,18,A,The correct answer is 16.
A trader buys an item for ₦18 and sells it for ₦36. Find the profit.,20,18,22,17,B,The correct answer is 18.
"If f(x) = 3x + 7, find f(6).",22,32,20,25,D,The correct answer is 25.
A rectangle has length 8 cm and width 3 cm. Find its perimeter.,12,22,28,18,B,The correct answer is 22.
Solve for x: 5x + 4 = 14,2,4,3,1,A,The correct answer is 2.
Solve for x: 5x + 7 = 27,4,3,5,6,A,The correct answer is 4.
Find sin 45°.,√2/2,√3,0,1,A,The correct answer is √2/2.
A rectangle has length 14 cm and width 15 cm. Find its perimeter.,58,54,64,48,A,The correct answer is 58.
Find sin 60°.,1,√3/2,0,√3,B,The correct answer is √3/2.
"If f(x) = 4x + 9, find f(7).",32,34,44,37,D,The correct answer is 37.
A trader buys an item for ₦12 and sells it for ₦32. Find the profit.,20,22,24,19,A,The correct answer is 20.
A trader buys an item for ₦23 and sells it for ₦30. Find the profit.,9,7,6,11,B,The correct answer is 7.
Find sin 45°.,√2/2,1,0,√3,A,The correct answer is √2/2.
Find the area of a circle of radius 10 cm. (Take π = 22/7),324.29,302.29,319.29,314.29,D,The correct answer is 314.29.
A trader buys an item for ₦35 and sells it for ₦46. Find the profit.,15,10,13,11,D,The correct answer is 11.
"Find the mean of the numbers [19, 11, 5, 17, 5].",13.4,11.4,15.4,8.4,B,The correct answer is 11.4.
A trader buys an item for ₦16 and sells it for ₦34. Find the profit.,18,17,22,20,A,The correct answer is 18.
A rectangle has length 13 cm and width 10 cm. Find its perimeter.,36,52,42,46,D,The correct answer is 46.
A trader buys an item for ₦25 and sells it for ₦40. Find the profit.,14,15,17,19,B,The correct answer is 15.
Find sin 45°.,√2/2,√3,0,1,A,The correct answer is √2/2.
"If f(x) = 6x + 1, find f(8).",56,44,46,49,D,The correct answer is 49.
"Find the mean of the numbers [27, 15, 3, 29, 22].",16.2,21.2,19.2,23.2,C,The correct answer is 19.2.
A trader buys an item for ₦11 and sells it for ₦27. Find the profit.,18,15,20,16,D,The correct answer is 16.
A rectangle has length 7 cm and width 7 cm. Find its perimeter.,18,24,34,28,D,The correct answer is 28.
Find the area of a circle of radius 6 cm. (Take π = 22/7),101.14,113.14,118.14,123.14,B,The correct answer is 113.14.
"Find the mean of the numbers [30, 21, 9, 3, 7].",16.0,11.0,18.0,14.0,D,The correct answer is 14.0.
Solve for x: 5x + 2 = 12,4,1,2,3,C,The correct answer is 2.
A rectangle has length 10 cm and width 8 cm. Find its perimeter.,42,36,32,26,B,The correct answer is 36.
A trader buys an item for ₦27 and sells it for ₦35. Find the profit.,12,8,10,7,B,The correct answer is 8.
A trader buys an item for ₦25 and sells it for ₦45. Find the profit.,22,24,19,20,D,The correct answer is 20.
A trader buys an item for ₦41 and sells it for ₦59. Find the profit.,22,20,17,18,D,The correct answer is 18.
A trader buys an item for ₦24 and sells it for ₦32. Find the profit.,12,7,10,8,D,The correct answer is 8.
A trader buys an item for ₦28 and sells it for ₦33. Find the profit.,4,9,5,7,C,The correct answer is 5.
"If |A|=25, |B|=20, and |A ∩ B|=14, find |A ∪ B|.",27,41,36,31,D,The correct answer is 31.
A trader buys an item for ₦33 and sells it for ₦49. Find the profit.,20,15,16,18,C,The correct answer is 16.
Find sin 30°.,√3,1/2,1,0,B,The correct answer is 1/2.
Solve for x: 11x + 8 = 85,7,9,8,6,A,The correct answer is 7.
A trader buys an item for ₦20 and sells it for ₦36. Find the profit.,18,20,15,16,D,The correct answer is 16.
"Find the mean of the numbers [28, 9, 21, 17, 6].",13.2,18.2,16.2,20.2,C,The correct answer is 16.2.
Solve for x: 12x + 3 = 39,5,2,3,4,C,The correct answer is 3.
A trader buys an item for ₦31 and sells it for ₦38. Find the profit.,7,6,9,11,A,The correct answer is 7.
Find sin 30°.,√3,1,0,1/2,D,The correct answer is 1/2.
Find the area of a circle of radius 6 cm. (Take π = 22/7),113.14,118.14,101.14,123.14,A,The correct answer is 113.14.
Find sin 30°.,1/2,0,1,√3,A,The correct answer is 1/2.
A trader buys an item for ₦45 and sells it for ₦55. Find the profit.,14,12,9,10,D,The correct answer is 10.
A trader buys an item for ₦13 and sells it for ₦27. Find the profit.,14,16,13,18,A,The correct answer is 14.
Find the area of a circle of radius 3 cm. (Take π = 22/7),16.29,33.29,38.29,28.29,D,The correct answer is 28.29.
A trader buys an item for ₦31 and sells it for ₦40. Find the profit.,11,13,8,9,D,The correct answer is 9.
Find sin 30°.,1/2,√3,1,0,A,The correct answer is 1/2.
A trader buys an item for ₦24 and sells it for ₦37. Find the profit.,15,12,13,17,C,The correct answer is 13.
Find sin 30°.,√3,0,1/2,1,C,The correct answer is 1/2.
"If f(x) = 5x + 4, find f(1).",16,4,9,6,C,The correct answer is 9.
"If f(x) = 4x + 6, find f(4).",19,29,22,17,C,The correct answer is 22.
Find the area of a circle of radius 5 cm. (Take π = 22/7),78.57,66.57,83.57,88.57,A,The correct answer is 78.57.
Find sin 30°.,1,0,1/2,√3,C,The correct answer is 1/2.
Find sin 45°.,1,√3,0,√2/2,D,The correct answer is √2/2.
A trader buys an item for ₦17 and sells it for ₦29. Find the profit.,11,12,16,14,B,The correct answer is 12.
"If f(x) = 3x + 3, find f(2).",9,6,16,4,A,The correct answer is 9.
A trader buys an item for ₦14 and sells it for ₦30. Find the profit.,18,15,20,16,D,The correct answer is 16.
A trader buys an item for ₦35 and sells it for ₦55. Find the profit.,22,19,20,24,C,The correct answer is 20.
A trader buys an item for ₦13 and sells it for ₦26. Find the profit.,17,13,12,15,B,The correct answer is 13.
A trader buys an item for ₦37 and sells it for ₦43. Find the profit.,10,5,8,6,D,The correct answer is 6.
A trader buys an item for ₦25 and sells it for ₦36. Find the profit.,13,10,11,15,C,The correct answer is 11.
"If f(x) = 4x + 4, find f(9).",40,37,35,47,A,The correct answer is 40.
Find the area of a circle of radius 5 cm. (Take π = 22/7),88.57,83.57,78.57,66.57,C,The correct answer is 78.57.
A rectangle has length 9 cm and width 3 cm. Find its perimeter.,24,14,30,20,A,The correct answer is 24.
Solve for x: 9x + 12 = 75,9,7,8,6,B,The correct answer is 7.
"If |A|=29, |B|=16, and |A ∩ B|=8, find |A ∪ B|.",37,42,47,33,A,The correct answer is 37.
Find the area of a circle of radius 10 cm. (Take π = 22/7),314.29,324.29,302.29,319.29,A,The correct answer is 314.29.
Find the area of a circle of radius 8 cm. (Take π = 22/7),211.14,201.14,189.14,206.14,B,The correct answer is 201.14.
A trader buys an item for ₦26 and sells it for ₦42. Find the profit.,16,18,15,20,A,The correct answer is 16.
A trader buys an item for ₦44 and sells it for ₦64. Find the profit.,22,19,20,24,C,The correct answer is 20.
"Find the mean of the numbers [4, 1, 5, 23, 7].",10.0,8.0,5.0,12.0,B,The correct answer is 8.0.
"Find the mean of the numbers [10, 2, 20, 23, 5].",14.0,9.0,16.0,12.0,D,The correct answer is 12.0.
Find sin 45°.,0,√3,1,√2/2,D,The correct answer is √2/2.
A rectangle has length 15 cm and width 11 cm. Find its perimeter.,42,58,52,48,C,The correct answer is 52.
"If |A|=26, |B|=23, and |A ∩ B|=9, find |A ∪ B|.",36,50,45,40,D,The correct answer is 40.
A rectangle has length 13 cm and width 4 cm. Find its perimeter.,40,30,34,24,C,The correct answer is 34.
A trader buys an item for ₦47 and sells it for ₦57. Find the profit.,10,12,14,9,A,The correct answer is 10.
A trader buys an item for ₦26 and sells it for ₦46. Find the profit.,24,22,19,20,D,The correct answer is 20.
A trader buys an item for ₦33 and sells it for ₦38. Find the profit.,5,4,9,7,A,The correct answer is 5.
A trader buys an item for ₦22 and sells it for ₦32. Find the profit.,14,12,10,9,C,The correct answer is 10.
"If f(x) = 3x + 2, find f(8).",23,33,26,21,C,The correct answer is 26.
A rectangle has length 7 cm and width 12 cm. Find its perimeter.,38,44,34,28,A,The correct answer is 38.
A trader buys an item for ₦44 and sells it for ₦63. Find the profit.,21,19,18,23,B,The correct answer is 19.
"If f(x) = 5x + 3, find f(2).",13,20,10,8,A,The correct answer is 13.
"Find the mean of the numbers [23, 21, 7, 2, 1].",10.8,12.8,7.800000000000001,14.8,A,The correct answer is 10.8.
"If f(x) = 2x + 3, find f(10).",18,30,23,20,C,The correct answer is 23.
A trader buys an item for ₦15 and sells it for ₦21. Find the profit.,5,8,10,6,D,The correct answer is 6.
A trader buys an item for ₦12 and sells it for ₦21. Find the profit.,8,13,11,9,D,The correct answer is 9.
A trader buys an item for ₦26 and sells it for ₦31. Find the profit.,5,7,9,4,A,The correct answer is 5.
A trader buys an item for ₦30 and sells it for ₦47. Find the profit.,21,17,19,16,B,The correct answer is 17.
A trader buys an item for ₦38 and sells it for ₦46. Find the profit.,10,7,12,8,D,The correct answer is 8.
"If f(x) = 5x + 4, find f(6).",41,34,29,31,B,The correct answer is 34.
A trader buys an item for ₦29 and sells it for ₦42. Find the profit.,17,15,12,13,D,The correct answer is 13.
A trader buys an item for ₦50 and sells it for ₦64. Find the profit.,18,16,13,14,D,The correct answer is 14.
A trader buys an item for ₦29 and sells it for ₦43. Find the profit.,14,18,16,13,A,The correct answer is 14.
Find the area of a circle of radius 6 cm. (Take π = 22/7),113.14,123.14,101.14,118.14,A,The correct answer is 113.14.
"If f(x) = 6x + 2, find f(2).",21,9,11,14,D,The correct answer is 14.
"If |A|=34, |B|=22, and |A ∩ B|=7, find |A ∪ B|.",45,59,49,54,C,The correct answer is 49.
A trader buys an item for ₦35 and sells it for ₦40. Find the profit.,9,4,5,7,C,The correct answer is 5.
A rectangle has length 4 cm and width 6 cm. Find its perimeter.,26,20,10,16,B,The correct answer is 20.
Find the area of a circle of radius 10 cm. (Take π = 22/7),302.29,314.29,319.29,324.29,B,The correct answer is 314.29.
"Find the mean of the numbers [23, 1, 13, 1, 24].",12.4,9.4,14.4,16.4,A,The correct answer is 12.4.
Find sin 60°.,√3/2,0,√3,1,A,The correct answer is √3/2.
A trader buys an item for ₦42 and sells it for ₦51. Find the profit.,9,8,13,11,A,The correct answer is 9.
A trader buys an item for ₦49 and sells it for ₦65. Find the profit.,18,16,15,20,B,The correct answer is 16.
A rectangle has length 11 cm and width 10 cm. Find its perimeter.,48,38,32,42,D,The correct answer is 42.
A trader buys an item for ₦38 and sells it for ₦55. Find the profit.,17,19,21,16,A,The correct answer is 17.
A rectangle has length 9 cm and width 15 cm. Find its perimeter.,44,54,48,38,C,The correct answer is 48.
"If |A|=29, |B|=15, and |A ∩ B|=13, find |A ∪ B|.",31,41,36,27,A,The correct answer is 31.
Find the area of a circle of radius 10 cm. (Take π = 22/7),319.29,302.29,314.29,324.29,C,The correct answer is 314.29.
A trader buys an item for ₦44 and sells it for ₦59. Find the profit.,17,15,19,14,B,The correct answer is 15.
A rectangle has length 9 cm and width 13 cm. Find its perimeter.,34,40,44,50,C,The correct answer is 44.
"If |A|=33, |B|=16, and |A ∩ B|=7, find |A ∪ B|.",52,47,38,42,D,The correct answer is 42.
"If |A|=38, |B|=22, and |A ∩ B|=8, find |A ∪ B|.",52,57,62,48,A,The correct answer is 52.
Solve for x: 11x + 5 = 71,6,7,8,5,A,The correct answer is 6.
"Find the mean of the numbers [18, 19, 12, 14, 8].",18.2,14.2,11.2,16.2,B,The correct answer is 14.2.
Solve for x: 5x + 9 = 44,6,7,8,9,B,The correct answer is 7.
"If |A|=35, |B|=26, and |A ∩ B|=7, find |A ∪ B|.",50,54,64,59,B,The correct answer is 54.
